"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.473624999E-1,3.481141008E0,-7.004867873E0,3.031643555E1,3.130930822E1
8.573995000E-1,2.486060094E0,-8.150296488E0,3.145163505E1,3.258547491E1
8.674374999E-1,2.163081536E0,-7.770332136E0,2.911301308E1,3.020967584E1
8.774745000E-1,2.116010135E0,-6.275617170E0,2.392457047E1,2.482430144E1
8.875114999E-1,1.871963579E0,-4.285092815E0,1.723791217E1,1.786090379E1
8.975495000E-1,1.642426744E0,-2.285377806E0,1.028605223E1,1.066411683E1
9.075864999E-1,1.353186181E0,-5.395211995E-1,3.658977640E0,3.938313514E0
9.176235000E-1,1.147087325E0,9.181536292E-1,-2.243373747E0,2.681704903E0
9.276614999E-1,1.045897750E0,2.059681860E0,-7.112032717E0,7.477780476E0
9.376983750E-1,5.497270028E-1,2.649690624E0,-1.019322301E1,1.054631952E1
9.477353749E-1,-4.199006890E-1,2.597177072E0,-1.173788080E1,1.202911015E1
9.577733750E-1,-1.425609941E0,2.256437158E0,-1.256992087E1,1.285016665E1
9.678103749E-1,-2.023065572E0,1.913736380E0,-1.331366097E1,1.360179215E1
9.778473750E-1,-2.260591751E0,1.645580147E0,-1.387666598E1,1.415556667E1
9.878853749E-1,-2.275865409E0,1.483732726E0,-1.399064225E1,1.425198571E1
9.979223750E-1,-2.255920264E0,1.278360824E0,-1.354702803E1,1.379294570E1
1.007959375E0,-2.381028752E0,1.035528517E0,-1.300214004E1,1.325885601E1
1.017997375E0,-2.326545566E0,8.200765999E-1,-1.274011695E1,1.297674534E1
1.028034375E0,-1.948534622E0,7.427907347E-1,-1.252103815E1,1.269349919E1
1.038071375E0,-1.280387616E0,6.901131689E-1,-1.214332205E1,1.223012343E1
1.048109375E0,-6.445125613E-1,6.086083914E-1,-1.210704008E1,1.213944892E1
1.058146375E0,-1.288125528E-1,6.483798366E-1,-1.237437361E1,1.239201805E1
1.068183375E0,1.462693421E-1,6.758387268E-1,-1.269894085E1,1.271775340E1
1.078221375E0,2.164209099E-1,5.406587753E-1,-1.299974852E1,1.301278647E1
1.088258375E0,1.381664534E-1,5.056384121E-1,-1.321999794E1,1.323038569E1
1.098295375E0,-4.423186580E-2,4.160354602E-1,-1.317616253E1,1.318280323E1
1.108333375E0,-2.955220615E-1,2.837264185E-1,-1.276060091E1,1.276717548E1
1.118370375E0,-5.415372099E-1,-2.103009582E-2,-1.206184227E1,1.207401109E1
1.128407375E0,-8.542592765E-1,-2.837422426E-1,-1.075089652E1,1.078851447E1
1.138445375E0,-6.340442180E-1,-4.316413864E-1,-9.114052114E0,9.146270950E0
