Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Predicted Label
0.9982532917,-3.423264098,2.660141644,-2.032236053,4.788013579,0.0
1.008293292,-1.77673641,-0.9991476524,-1.67710541,2.639653549,0.0
1.018334292,0.0663983497,-0.9025001943,-0.1022444494,0.9106971335,0.0
1.028374292,0.5231217331,-0.01700077951,0.576634866,0.7787510146,0.0
1.038414292,0.1180827659,-0.3173108518,1.023716483,1.07825097,0.0
1.048454292,-0.06834371835,-1.390486593,1.431639297,1.996926365,0.0
1.058495292,-0.6860041112,-1.738880659,1.243926133,2.245364071,0.0
1.068535292,-0.9452775469,-1.591454226,1.057711025,2.131907317,0.0
1.078575292,-0.7620044661,-1.572470071,0.74065979,1.897864551,0.0
1.088616292,-0.528140983,-0.7516449541,0.3267785903,0.975031939,0.0
1.098656292,0.01986679226,0.4349620932,0.4412367404,0.6199004541,0.0
1.108696292,0.5107551643,0.6538169432,0.4112942819,0.9260185848,0.0
1.118737292,0.5556676278,0.3418773437,-0.1603352944,0.671828875,0.0
1.128777292,1.040874114,-0.03418691576,-0.9725322962,1.424923413,0.0
1.138817292,0.9421412466,-0.4532942837,-1.64690805,1.950746514,0.0
1.148858292,0.5748910801,-0.4197657645,-1.143014885,1.346545981,0.0
1.158898292,0.2955187176,-0.1239902079,-0.2632194293,0.4147159896,0.0
1.168938292,-0.1823253934,0.3443887228,0.4549683781,0.5990345287,0.0
1.178979292,-0.2379284674,1.019915793,0.7868212918,1.309933558,0.0
1.189019292,-0.08499512672,1.805366424,0.7963990311,1.975050256,0.0
1.199059292,0.0392171292,2.288489694,0.476242851,2.337847368,0.0
1.209100292,0.1800818168,2.364295921,-0.1797561999,2.377948056,0.0
1.219140292,0.04917230621,1.830546289,-0.5465509415,1.911029975,0.0
1.229180292,0.01629604384,1.220448977,-0.3945209956,1.282734611,0.0
1.239221292,-0.1364947709,0.6290469682,0.1541526313,0.6618866553,0.0
1.249261292,-0.0482107316,-0.004060891271,0.6229038835,0.6247799721,0.0
1.259301292,0.2188776541,-0.03993648291,0.1408559167,0.2633300959,0.0
1.269341292,-0.1582282868,-0.1889141822,0.6111369467,0.6589485007,0.0
1.279382292,-0.7846733902,-1.152485036,1.928244492,2.379508543,0.0
1.289422292,-0.8240362613,-1.468957397,1.849242761,2.501313731,0.0
1.299462292,-0.3777941582,-1.200286608,1.085998758,1.662170169,0.0
1.309503292,0.08847641274,-1.199515945,-0.2325074407,1.225041342,0.0
1.319543292,0.5532283887,-1.079514708,-0.7401288629,1.420987118,0.0
1.329583292,0.7483107986,-0.9588737851,-0.6842376673,1.395560523,0.0
1.339624292,0.692198286,-0.4113878739,-0.6107907184,1.010665005,0.0
1.349664292,0.4900892039,0.6820180643,-0.3914616593,0.9265950024,0.0
1.359704292,0.2535196294,1.242109403,-0.1598873612,1.277760517,0.0
1.369745292,-0.1038855802,1.004008443,0.2267211092,1.034518066,0.0
1.379785292,-0.06417816192,0.421429882,0.1966278291,0.4694512596,0.0
1.389825292,-0.09457030781,0.2543813628,0.1928341556,0.332924064,0.0
1.399865292,0.1023367989,0.3661543983,0.05558838286,0.38422901,0.0
1.409906292,0.39200757,-0.01008118451,-0.02690640137,0.3930591808,0.0
1.419946375,0.2723036635,0.4042127556,-0.02145453058,0.4878499091,0.0
1.429986375,0.02301274046,0.7060360873,0.4226449335,0.8231921298,0.0
1.440027375,-0.4555874155,-0.7775311625,0.179537441,0.9188842662,0.0
