Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Predicted Label
3.468955333,-1.51534102,6.511452334,-7.167821002,9.801679847,0.0
3.478992333,-0.8754599648,5.48132204,-6.208071304,8.327753045,0.0
3.489029333,-0.3955063976,4.855154241,-5.266483642,7.173896986,0.0
3.499066333,-0.1035030992,4.937505841,-4.430941084,6.634976693,0.0
3.5091045,-0.1426230915,5.54017602,-3.252859862,6.42611772,0.0
3.5191415,0.006234008968,5.990156686,-2.065592372,6.336299222,0.0
3.5291785,0.8000521521,5.655362075,-0.4139612335,5.726654132,0.0
3.5392155,1.143260468,4.643179225,1.304716418,4.956656408,0.0
3.5492535,0.6629182805,2.701624716,3.200612066,4.240537036,0.0
3.5592905,0.2502707702,-0.5872849846,5.706203615,5.741802749,0.0
3.5693275,-0.1087674205,-5.304013411,8.222428325,9.785331685,0.0
3.5793645,0.2438737701,-10.51211494,12.20651993,16.11096408,0.0
3.5894025,2.154275045,-15.87166813,13.83019348,21.16187615,0.0
3.5994395,4.885166245,-17.09066057,8.15045144,19.55467685,0.0
3.6094765,5.219146923,-12.01044524,3.584140004,13.5770523,0.0
3.6195135,3.028994533,-4.350760555,3.683420464,6.455347519,0.0
3.6295515,0.1344331889,3.003791864,5.769501479,6.505996093,0.0
3.6395885,-3.503849255,6.876871737,5.595255037,9.532848652,0.0
3.6496255,-2.610398504,4.356159289,2.591007675,5.701195039,0.0
3.6596625,-3.23312434,1.566436329,0.1495364007,3.595716466,0.0
3.6696995,-3.238291232,-0.5799847358,-2.756503174,4.291995124,0.0
3.6797375,-2.831738128,-3.104743457,-3.426246763,5.421931357,0.0
3.6897745,-2.001853043,-6.224850474,-0.3891994447,6.550393518,0.0
3.6998115,-1.887767872,-9.022933198,3.211077413,9.761557724,0.0
3.7098485,-3.403233876,-7.183756419,1.907496524,8.174772174,0.0
3.7198865,-5.56801169,-1.441312346,-1.917652261,6.0627985,0.0
3.7299235,-5.759574076,3.545329403,-5.000070464,8.410871462,0.0
3.7399605,-3.689298669,6.848288793,-6.95045193,10.43162337,0.0
3.7499975,-3.316198071,6.373557447,-7.051683605,10.06705746,0.0
3.7600355,-4.021182244,4.132709697,-3.939211298,6.983307363,0.0
3.7700725,-1.13886687,1.766193588,-3.244487234,3.865637716,0.0
3.7801095,1.394039508,-0.5287321365,-5.695824223,5.887725995,0.0
3.7901465,0.7820928678,-2.238884255,-7.327264048,7.701497932,0.0
3.8001835,0.5674485978,-2.608237081,-7.427318678,7.892398959,0.0
